,name,url,Main Story time,Main Story tag info,Main + Extra time,Main + Extra tag info,Completionist time,Completionist tag info,Solo time,Solo tag info,Co-Op time,Co-Op tag info,Vs. time,Vs. tag info
8929,leosfortune,game?id=21644,2.5,90.0,3.5,60.0,5.0,40.0,,,,,,
8931,acitysleeps,game?id=21990,1.0,50.0,,0.0,7.5,40.0,,,,,,
8932,bermuda,game?id=22163,1.0,50.0,1.0,0.0,1.5,50.0,,,,,,
8934,bionicheart2,game?id=22900,2.0,40.0,,0.0,11.0,40.0,,,,,,
8935,cheetahmenii,game?id=22917,17.0,40.0,1.5,40.0,,0.0,,,,,,
8936,luxuriasuperbia,game?id=15496,1.0,50.0,1.5,40.0,2.0,40.0,,,,,,
8937,artofmurderfbiconfidential,game?id=16673,7.5,50.0,7.5,40.0,8.0,40.0,,,,,,
8938,fattybearsbirthdaysurprise,game?id=16705,37.0,50.0,43.0,0.0,49.0,50.0,,,,,,
8939,doodledevil,game?id=16902,1.0,40.0,2.5,40.0,2.5,70.0,,,,,,
8940,thewitchandthehundredknight,game?id=16928,41.0,40.0,46.5,40.0,70.0,50.0,,,,,,
8941,wildlifepark3,game?id=17098,,0.0,,0.0,30.0,40.0,,,,,,
8942,baddudesvsdragonninja,game?id=17179,39.0,80.0,,0.0,1.5,40.0,,,,,,
8943,chuckschallenge3d,game?id=17188,9.5,40.0,,0.0,16.0,40.0,,,,,,
8944,theemperorsnewgroove,game?id=17851,6.0,40.0,7.0,40.0,8.5,40.0,,,,,,
8945,supermonkeyballjr,game?id=17980,6.5,40.0,7.5,40.0,,0.0,,,,,,
8946,starwarstheclonewars,game?id=9125,5.5,70.0,8.5,50.0,14.0,40.0,,,,,,
8947,stateofemergency,game?id=9185,5.0,50.0,8.0,40.0,,0.0,,,,,,
8948,suikodentactics,game?id=9305,33.5,40.0,37.5,60.0,55.5,40.0,,,,,,
8949,superstarwarstheempirestrikesback,game?id=9455,4.5,60.0,,0.0,5.0,40.0,,,,,,
8950,superstreetfighteriiturbohdremix,game?id=9459,1.0,80.0,2.5,40.0,9.0,40.0,,,,,,
8951,swordoftheberserkgutsrage,game?id=9509,4.0,70.0,4.5,40.0,11.0,40.0,,,,,,
8952,taosadventurecurseofthedemonseal,game?id=9621,45.0,40.0,,0.0,,0.0,,,,,,
8953,tetrisattack,game?id=9717,3.0,70.0,4.0,40.0,8.5,40.0,,,,,,
8954,thebattleofolympus,game?id=9777,8.0,40.0,12.0,40.0,14.0,50.0,,,,,,
8955,thefairlyoddparentsbreakindarules,game?id=9872,5.5,50.0,8.5,40.0,10.0,40.0,,,,,,
8956,thekingoffightersxi,game?id=9985,3.5,50.0,12.0,40.0,120.0,40.0,,,,,,
8957,thelegendofthemysticalninja,game?id=10024,4.5,60.0,5.0,40.0,7.5,40.0,,,,,,
8958,theseawillclaimeverything,game?id=10161,5.0,50.0,6.5,40.0,8.5,40.0,,,,,,
8959,thething,game?id=10228,7.0,70.0,8.0,50.0,9.5,50.0,,,,,,
8960,theurbzsimsinthecity,game?id=10246,15.0,50.0,23.5,60.0,28.5,40.0,,,,,,
8961,thewalkingdeadepisode1anewday,game?id=10253,,,,,,,2.5,100.0,,,,
8962,thiefthedarkproject,game?id=10300,13.0,60.0,21.0,50.0,30.5,40.0,,,,,,
8963,thrillvilleofftherails,game?id=10315,7.5,50.0,14.0,50.0,21.5,40.0,,,,,,
8964,trackmaniads,game?id=10595,2.0,40.0,,0.0,4.5,40.0,,,,,,
8965,twistedmetal,game?id=10720,4.5,70.0,11.5,40.0,16.0,40.0,,,,,,
8966,pokmontrozei,game?id=7178,4.0,70.0,8.0,40.0,12.0,40.0,,,,,,
8967,pokparkwiipikachusadventure,game?id=7185,8.0,80.0,9.5,70.0,16.5,80.0,,,,,,
